Entity,Year,Low-carbon Energy
Pacific,2013,9.362876
Pacific,2014,10.212192
Pacific,2015,10.70437
Pacific,2016,11.454554
Pacific,2017,12.010387
Pacific,2018,12.720805
Pacific,2019,13.476905
Pacific,2020,14.44248
Pacific,2021,15.180056
Pacific,2022,16.14824
Asia,1965,7.8983674
Asia,1966,7.6186886
Asia,1967,6.8032503
Asia,1968,7.0210037
Asia,1969,6.4396634
Asia,1970,5.9613757
Asia,1971,6.017678
Asia,1972,5.8931966
Asia,1973,5.1163435
Asia,1974,5.9110427
Asia,1975,6.248229
Asia,1976,6.2761927
Asia,1977,5.727212
Asia,1978,6.279528
Asia,1979,6.6422396
Asia,1980,7.295101
Asia,1981,7.712648
Asia,1982,8.005656
Asia,1983,8.298133
Asia,1984,8.215721
Asia,1985,8.400272
Asia,1986,8.299978
Asia,1987,8.566064
Asia,1988,8.513501
Asia,1989,8.389552
Asia,1990,8.503474
Asia,1991,8.449501
Asia,1992,8.210988
Asia,1993,8.722682
Asia,1994,8.514341
Asia,1995,8.91219
Asia,1996,8.704663
Asia,1997,8.703651
Asia,1998,9.139986
Asia,1999,8.828231
Asia,2000,8.76842
Asia,2001,8.834203
Asia,2002,8.655836
Asia,2003,7.8030086
Asia,2004,8.233761
Asia,2005,7.950812
Asia,2006,8.041945
Asia,2007,7.7129536
Asia,2008,8.060333
Asia,2009,7.9597726
Asia,2010,8.407005
Asia,2011,7.8057384
Asia,2012,7.800248
Asia,2013,8.28184
Asia,2014,8.900989
Asia,2015,9.385629
Asia,2016,10.017237
Asia,2017,10.5078745
Asia,2018,11.127429
Asia,2019,11.9950285
Asia,2020,12.784812
Asia,2021,13.335106
Asia,2022,14.16352
Europe,1965,6.224347
Europe,1966,6.5626187
Europe,1967,6.3419924
Europe,1968,6.4355874
Europe,1969,6.2321057
Europe,1970,6.243785
Europe,1971,6.184056
Europe,1972,6.2348247
Europe,1973,6.090337
Europe,1974,6.6301794
Europe,1975,6.913593
Europe,1976,6.633415
Europe,1977,7.6676817
Europe,1978,7.7601647
Europe,1979,7.96424
Europe,1980,8.409707
Europe,1981,9.360216
Europe,1982,9.602225
Europe,1983,10.300068
Europe,1984,11.407752
Europe,1985,12.6145525
Europe,1986,12.711014
Europe,1987,13.131802
Europe,1988,13.913446
Europe,1989,13.751679
Europe,1990,13.791264
Europe,1991,14.2867
Europe,1992,15.0540905
Europe,1993,16.084389
Europe,1994,16.62241
Europe,1995,16.967766
Europe,1996,17.030972
Europe,1997,17.710526
Europe,1998,17.808163
Europe,1999,18.243446
Europe,2000,18.566158
Europe,2001,18.723288
Europe,2002,18.40321
Europe,2003,17.91813
Europe,2004,18.3891
Europe,2005,18.455318
Europe,2006,18.282444
Europe,2007,18.402216
Europe,2008,18.888973
Europe,2009,19.908379
Europe,2010,20.12962
Europe,2011,20.086218
Europe,2012,20.938957
Europe,2013,21.815487
Europe,2014,22.828835
Europe,2015,23.016394
Europe,2016,22.739616
Europe,2017,22.652554
Europe,2018,23.159294
Europe,2019,23.740595
Europe,2020,25.763706
Europe,2021,25.110329
Europe,2022,25.056934
North America,1965,6.2756515
North America,1966,6.2472425
North America,1967,6.5808883
North America,1968,6.3971
North America,1969,6.739479
North America,1970,6.692004
North America,1971,7.1578965
North America,1972,7.418746
North America,1973,7.7389107
North America,1974,8.843274
North America,1975,9.648396
North America,1976,9.45042
North America,1977,9.36855
North America,1978,10.3762245
North America,1979,10.15826
North America,1980,10.462078
North America,1981,11.083032
North America,1982,12.102016
North America,1983,12.840809
North America,1984,12.881407
North America,1985,13.407655
North America,1986,13.966097
North America,1987,13.694295
North America,1988,13.632986
North America,1989,13.756931
North America,1990,14.624627
North America,1991,15.250007
North America,1992,14.841538
North America,1993,14.99435
North America,1994,14.897403
North America,1995,15.527612
North America,1996,15.572935
North America,1997,14.93175
North America,1998,14.677819
North America,1999,15.136253
North America,2000,14.697268
North America,2001,14.273411
North America,2002,14.710844
North America,2003,14.415617
North America,2004,14.456736
North America,2005,14.585381
North America,2006,14.959282
North America,2007,14.710808
North America,2008,15.537429
North America,2009,16.375008
